hike_url,similar,score,rank
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/GWNF/MudholeGap/,0.999933,1
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/NNF/StandingIndian/,0.899655,2
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/SNP/CatlettMountain/,0.894502,3
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/GWNF/GroomsRidgeChestnutRidge/,0.824555,4
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/GWNF/BrownsHollow/,0.822633,5
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/MNF/HighFalls/,0.81917,6
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/GWNF/ElliottKnob/,0.81545,7
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/GWNF/LaurelFork/,0.811404,8
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/JNF/HoopHole/,0.808259,9
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/OVH/RockCastleGorge/,0.790741,10
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/GWNF/BigRockyRow/,0.790741,11
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/SNP/CorbinMountain/,0.783699,12
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/SNP/HazelRiver/,0.780052,13
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/MNF/GauleyMountainTeaCreek/,0.775347,14
https://www.hikingupward.com/GWNF/AnthillSlateLick/,https://www.hikingupward.com/SNP/OnemileRun/,0.773061,15
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/PNF/MtMitchell/,0.999933,1
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/PNF/ColdMountain/,0.886625,2
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/OVH/HouseMountain/,0.877997,3
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/PNF/BlackMountainCrestTrail/,0.865925,4
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/JNF/PineyRidge/,0.823332,5
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/SNP/RockyMount/,0.822025,6
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/NNF/WesserBald/,0.817186,7
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/PNF/BigBald/,0.797814,8
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/GWNF/MillMountain/,0.791104,9
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/JNF/MtRogersElkRidge/,0.790902,10
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/PNF/RichMountainLoversLeap/,0.777192,11
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/JNF/BalconyFalls/,0.753571,12
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/SNP/AustinFurnaceMountains/,0.75211,13
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/NCSP/GrandfatherMountainDanielBoone/,0.75057,14
https://www.hikingupward.com/GWNF/BaldKnob/,https://www.hikingupward.com/SNP/JonesMountain/,0.735521,15
https://www.hikingupward.com/GWNF/BigRockyRow/,https://www.hikingupward.com/OVH/RockCastleGorge/,0.983636,1
https://www.hikingupward.com/GWNF/BigRockyRow/,https://www.hikingupward.com/SNP/BrownMountain/,0.931827,2
https://www.hikingupward.com/GWNF/BigRockyRow/,https://www.hikingupward.com/JNF/KellyKnob/,0.907528,3
https://www.hikingupward.com/GWNF/BigRockyRow/,https://www.hikingupward.com/GWNF/BrownsHollow/,0.883044,4
https://www.hikingupward.com/GWNF/BigRockyRow/,https://www.hikingupward.com/GWNF/DuncanKnobHollow/,0.880067,5
https://www.hikingupward.com/GWNF/BigRockyRow/,https://www.hikingupward.com/GWNF/MillsCreek/,0.861292,6
